vendor,quarter,month,day,day_of_week,hour,pickup,dropoff,duration,distance,passengers,payment_type,total
VeriFone,2,6,2017-06-03,Saturday,18,234,230,500.00000000000006,1.16,6,Credit card,9.75
Creative Mobile,2,4,2017-04-16,Sunday,2,249,255,1273.0,4.3,3,Credit card,21.02
Creative Mobile,1,2,2017-02-25,Saturday,13,107,161,674.0,1.9,1,Credit card,12.85
VeriFone,1,3,2017-03-17,Friday,22,138,180,1336.0,11.2,2,Credit card,39.36
Creative Mobile,1,1,2017-01-10,Tuesday,21,246,50,382.0,2.0,1,Cash,9.3
VeriFone,4,11,2017-11-16,Thursday,9,48,161,737.0,1.02,2,Credit card,11.16
VeriFone,4,10,2017-10-28,Saturday,4,79,74,972.0000000000001,5.11,3,Credit card,23.14
VeriFone,4,10,2017-10-13,Friday,15,249,234,458.00000000000006,0.96,1,Cash,7.3
VeriFone,3,9,2017-09-20,Wednesday,23,249,164,444.0,1.9,1,Credit card,11.16
Creative Mobile,3,7,2017-07-29,Saturday,13,249,186,534.0,1.6,1,Credit card,9.8
Creative Mobile,3,9,2017-09-06,Wednesday,11,140,140,214.0,0.4,1,Cash,5.3
Creative Mobile,3,9,2017-09-28,Thursday,7,237,162,231.00000000000003,0.9,1,Credit card,6.8
VeriFone,3,8,2017-08-18,Friday,1,114,257,1036.0,4.96,1,Credit card,21.96
Creative Mobile,1,2,2017-02-28,Tuesday,18,87,170,685.0,4.9,1,Credit card,23.1
Creative Mobile,1,3,2017-03-10,Friday,18,234,244,1616.0,9.6,1,Cash,32.3
Creative Mobile,2,5,2017-05-06,Saturday,14,79,255,1495.0,2.9,1,Cash,18.3
VeriFone,3,7,2017-07-15,Saturday,0,125,87,522.0,1.62,2,Credit card,10.3
Creative Mobile,4,10,2017-10-17,Tuesday,14,138,51,1835.0000000000002,13.8,1,Credit card,54.66
Creative Mobile,1,2,2017-02-11,Saturday,19,249,107,1388.0,1.7,1,Credit card,16.3
VeriFone,2,6,2017-06-23,Friday,19,170,234,424.0,0.88,2,Credit card,8.8
VeriFone,1,3,2017-03-26,Sunday,20,186,233,468.00000000000006,1.46,1,Credit card,9.54
VeriFone,3,7,2017-07-27,Thursday,10,163,100,789.0,1.66,1,Credit card,12.0
VeriFone,4,12,2017-12-11,Monday,20,161,234,703.0,1.63,1,Credit card,12.96
Creative Mobile,4,11,2017-11-18,Saturday,13,230,138,2099.0,10.0,1,Credit card,42.35
VeriFone,1,3,2017-03-18,Saturday,23,113,68,451.0,1.42,1,Cash,8.3
VeriFone,1,2,2017-02-07,Tuesday,8,211,231,684.0,0.72,1,Credit card,8.8
VeriFone,1,3,2017-03-31,Friday,20,138,232,1915.0000000000002,9.67,3,Credit card,40.38
Creative Mobile,2,5,2017-05-24,Wednesday,20,161,246,978.0000000000001,2.3,1,Credit card,16.55
Creative Mobile,1,2,2017-02-15,Wednesday,20,256,181,1415.0,4.7,1,Credit card,22.8
Creative Mobile,3,9,2017-09-29,Friday,11,163,211,1896.0000000000002,3.5,1,Cash,20.3
Creative Mobile,3,8,2017-08-16,Wednesday,9,236,164,924.0000000000001,2.7,1,Cash,13.3
VeriFone,2,6,2017-06-13,Tuesday,19,113,125,600.0,1.07,2,Cash,9.8
Creative Mobile,3,8,2017-08-05,Saturday,15,50,170,1095.0,2.3,2,Cash,13.8
VeriFone,2,5,2017-05-13,Saturday,20,166,158,1499.0,6.93,1,Cash,25.3
VeriFone,2,4,2017-04-10,Monday,22,161,236,971.0000000000001,2.95,6,Cash,14.8
Creative Mobile,2,6,2017-06-03,Saturday,14,132,163,4011.0000000000005,18.0,1,Credit card,52.8
VeriFone,4,11,2017-11-17,Friday,12,231,107,1402.0,6.25,6,Credit card,27.96
Creative Mobile,3,9,2017-09-28,Thursday,21,233,163,733.0,1.8,1,Cash,10.8
VeriFone,2,4,2017-04-01,Saturday,2,255,255,224.0,0.63,6,Credit card,6.96
Creative Mobile,4,10,2017-10-21,Saturday,19,75,74,440.0,1.3,2,Credit card,7.8
VeriFone,4,12,2017-12-29,Friday,17,138,223,600.0,3.22,6,Credit card,16.62
VeriFone,3,9,2017-09-27,Wednesday,9,74,41,410.0,1.09,2,Credit card,8.3
VeriFone,3,7,2017-07-09,Sunday,2,100,164,495.00000000000006,0.79,1,Cash,8.3
Creative Mobile,4,10,2017-10-15,Sunday,1,158,125,324.0,1.1,1,Credit card,8.15
VeriFone,2,6,2017-06-23,Friday,17,237,246,2038.0000000000002,2.73,1,Credit card,26.76
Creative Mobile,2,6,2017-06-09,Friday,23,236,74,534.0,1.9,1,Cash,10.3
VeriFone,1,3,2017-03-04,Saturday,16,164,236,955.0000000000001,2.85,5,Credit card,14.3
VeriFone,3,9,2017-09-08,Friday,21,230,137,985.0000000000001,1.8,1,Cash,12.8
VeriFone,2,4,2017-04-07,Friday,13,230,163,373.0,0.83,2,Credit card,7.5
Creative Mobile,4,12,2017-12-22,Friday,11,262,186,1890.0000000000002,4.2,1,Credit card,27.36
Creative Mobile,4,12,2017-12-18,Monday,19,186,233,948.0000000000001,1.6,1,Cash,12.8
Creative Mobile,4,12,2017-12-06,Wednesday,22,161,230,248.00000000000003,0.5,1,Credit card,7.8
VeriFone,2,5,2017-05-19,Friday,8,229,263,860.0,1.71,1,Credit card,13.56
Creative Mobile,2,6,2017-06-22,Thursday,8,231,231,7.0,0.0,1,Cash,20.3
VeriFone,2,6,2017-06-17,Saturday,0,68,113,296.0,1.06,1,Cash,6.8
Creative Mobile,1,3,2017-03-18,Saturday,23,48,232,1196.0,4.1,2,Credit card,22.55
VeriFone,4,12,2017-12-12,Tuesday,16,142,238,349.0,1.08,1,Credit card,8.97
Creative Mobile,4,11,2017-11-24,Friday,15,148,170,970.0000000000001,2.6,1,Cash,13.8
VeriFone,4,12,2017-12-29,Friday,16,43,43,356.0,0.91,1,Cash,7.8
VeriFone,3,7,2017-07-18,Tuesday,19,68,161,702.0,0.95,1,Credit card,12.3
VeriFone,1,1,2017-01-08,Sunday,2,263,74,293.0,1.71,1,Credit card,8.8
VeriFone,3,7,2017-07-09,Sunday,3,211,68,602.0,2.62,1,Cash,11.3
Creative Mobile,3,8,2017-08-28,Monday,11,132,265,1748.0,9.0,1,Cash,28.8
VeriFone,3,7,2017-07-17,Monday,14,236,236,249.00000000000003,0.67,1,Credit card,6.36
Creative Mobile,3,8,2017-08-16,Wednesday,21,50,239,324.0,1.1,2,Credit card,8.75
VeriFone,4,12,2017-12-13,Wednesday,14,236,142,901.0,2.14,2,Cash,12.3
Creative Mobile,4,10,2017-10-18,Wednesday,7,144,107,403.0,1.4,1,Credit card,8.75
Creative Mobile,4,12,2017-12-26,Tuesday,23,148,113,294.0,1.0,1,Cash,6.8
VeriFone,1,3,2017-03-15,Wednesday,21,43,236,415.0,1.84,1,Cash,8.8
VeriFone,4,12,2017-12-12,Tuesday,12,237,237,196.0,0.55,1,Credit card,6.0
Creative Mobile,2,4,2017-04-06,Thursday,2,170,170,123.00000000000001,0.3,1,Cash,4.8
VeriFone,2,4,2017-04-14,Friday,12,262,140,520.0,1.39,1,Credit card,11.0
Creative Mobile,1,3,2017-03-03,Friday,9,50,161,969.0000000000001,1.5,1,No charge,11.8
Creative Mobile,1,2,2017-02-03,Friday,6,186,186,365.0,1.1,1,No charge,6.8
Creative Mobile,1,3,2017-03-15,Wednesday,15,236,263,260.0,0.5,1,Credit card,6.35
VeriFone,2,5,2017-05-19,Friday,14,234,170,1114.0,1.57,1,Credit card,15.96
VeriFone,3,9,2017-09-15,Friday,22,239,142,149.0,1.03,2,Credit card,7.56
VeriFone,2,4,2017-04-17,Monday,12,161,138,2206.0,11.51,5,Cash,46.06
VeriFone,3,9,2017-09-01,Friday,23,144,211,251.00000000000003,0.65,2,Cash,6.3
Creative Mobile,4,11,2017-11-29,Wednesday,11,238,162,2023.0000000000002,2.8,1,Credit card,24.5
VeriFone,1,1,2017-01-22,Sunday,0,234,17,1800.0,6.14,2,Credit card,25.8
Creative Mobile,4,12,2017-12-11,Monday,10,138,88,3219.0,15.6,1,Credit card,69.66
Creative Mobile,4,10,2017-10-24,Tuesday,15,164,249,1079.0,1.5,1,Credit card,17.25
Creative Mobile,4,12,2017-12-04,Monday,23,68,42,1240.0,7.0,1,Credit card,27.3
Creative Mobile,2,4,2017-04-21,Friday,23,263,142,707.0,2.6,1,Credit card,15.3
Creative Mobile,2,4,2017-04-29,Saturday,13,236,107,1151.0,3.1,1,Credit card,16.8
VeriFone,4,11,2017-11-11,Saturday,20,132,132,58.00000000000001,0.23,1,Cash,52.8
Creative Mobile,2,4,2017-04-12,Wednesday,20,234,237,1024.0,2.1,1,Credit card,15.95
VeriFone,3,8,2017-08-23,Wednesday,15,230,234,995.0000000000001,1.97,2,Cash,12.8
VeriFone,2,6,2017-06-07,Wednesday,7,87,233,906.0,4.67,1,Credit card,21.36
VeriFone,1,3,2017-03-22,Wednesday,22,79,263,1341.0,4.31,1,Credit card,22.56
VeriFone,2,6,2017-06-08,Thursday,19,158,114,469.00000000000006,0.84,1,Cash,8.3
VeriFone,4,10,2017-10-05,Thursday,0,234,148,670.0,2.34,2,Credit card,14.16
VeriFone,2,6,2017-06-19,Monday,1,79,137,190.0,1.04,2,Cash,6.3
VeriFone,2,4,2017-04-15,Saturday,12,239,90,1129.0,2.84,6,Credit card,17.76
Creative Mobile,2,5,2017-05-31,Wednesday,20,237,237,251.00000000000003,0.3,2,Cash,5.8
Creative Mobile,3,7,2017-07-15,Saturday,22,230,158,1649.0,3.9,1,Credit card,20.3
VeriFone,1,2,2017-02-12,Sunday,15,234,151,1568.0,5.27,1,Cash,22.8
Creative Mobile,2,4,2017-04-20,Thursday,7,100,236,949.0000000000001,3.3,1,Credit card,17.15
Creative Mobile,3,8,2017-08-16,Wednesday,18,186,50,382.0,1.4,1,Credit card,9.95
VeriFone,2,6,2017-06-13,Tuesday,20,163,1,2270.0,18.05,1,Cash,80.8
VeriFone,2,6,2017-06-13,Tuesday,19,161,161,275.0,0.47,3,Credit card,8.16
VeriFone,3,7,2017-07-08,Saturday,14,142,186,1088.0,2.3,3,Credit card,16.56
VeriFone,4,12,2017-12-27,Wednesday,17,138,116,1244.0,8.32,1,Credit card,38.06
VeriFone,1,2,2017-02-03,Friday,20,161,237,238.00000000000003,0.95,2,Credit card,7.82
VeriFone,1,1,2017-01-20,Friday,19,100,186,450.0,0.66,1,Credit card,8.8
Creative Mobile,2,6,2017-06-07,Wednesday,22,186,13,896.0,3.8,1,Credit card,18.95
Creative Mobile,2,5,2017-05-01,Monday,22,239,262,763.0,2.4,1,Credit card,15.35
VeriFone,2,5,2017-05-15,Monday,8,43,186,2078.0,4.24,2,Credit card,27.96
VeriFone,4,11,2017-11-07,Tuesday,7,239,24,692.0,1.77,1,Cash,10.3
Creative Mobile,4,10,2017-10-31,Tuesday,22,79,186,1334.0,2.4,1,Credit card,19.55
Creative Mobile,4,12,2017-12-04,Monday,17,114,246,1011.0000000000001,2.5,1,Cash,14.3
Creative Mobile,3,8,2017-08-21,Monday,12,264,264,1926.0000000000002,15.2,3,Credit card,48.3
Creative Mobile,2,5,2017-05-29,Monday,21,234,231,544.0,2.5,2,Credit card,12.3
VeriFone,3,9,2017-09-07,Thursday,8,79,249,326.0,0.99,1,Credit card,9.8
Creative Mobile,4,10,2017-10-05,Thursday,18,50,239,730.0,2.2,2,Credit card,13.9
Creative Mobile,3,9,2017-09-15,Friday,19,229,68,2216.0,3.3,2,Credit card,28.55
VeriFone,2,4,2017-04-15,Saturday,13,239,142,420.0,1.13,1,Cash,7.8
VeriFone,1,3,2017-03-05,Sunday,19,249,158,152.0,0.43,1,Credit card,5.76
VeriFone,3,9,2017-09-26,Tuesday,11,28,95,339.0,1.72,1,Cash,8.3
Creative Mobile,1,1,2017-01-25,Wednesday,18,162,239,1355.0,3.2,1,Credit card,19.8
VeriFone,3,8,2017-08-13,Sunday,10,237,138,1250.0,10.01,6,Credit card,44.45
Creative Mobile,2,4,2017-04-11,Tuesday,16,151,238,325.0,0.8,1,Credit card,10.1
VeriFone,1,1,2017-01-24,Tuesday,18,231,249,337.0,1.35,1,Credit card,8.8
VeriFone,1,2,2017-02-25,Saturday,18,161,148,2041.0000000000002,3.85,5,Cash,22.3
VeriFone,4,11,2017-11-17,Friday,22,234,100,1206.0,1.6,5,Cash,13.8
Creative Mobile,1,2,2017-02-13,Monday,16,140,166,1794.0,4.2,1,Cash,22.8
Creative Mobile,2,5,2017-05-28,Sunday,21,24,142,468.00000000000006,2.1,1,Credit card,11.05
VeriFone,3,7,2017-07-20,Thursday,17,161,163,1266.0,0.78,1,Credit card,17.76
VeriFone,3,7,2017-07-07,Friday,5,237,140,148.0,0.74,5,Credit card,6.96
VeriFone,4,11,2017-11-30,Thursday,21,230,164,467.00000000000006,0.99,4,Credit card,9.3
Creative Mobile,3,8,2017-08-05,Saturday,15,48,239,429.0,1.3,1,Cash,7.8
VeriFone,4,11,2017-11-18,Saturday,10,186,211,735.0,2.21,6,Credit card,13.0
Creative Mobile,1,1,2017-01-27,Friday,14,113,231,1026.0,1.9,3,Credit card,15.3
VeriFone,2,6,2017-06-24,Saturday,7,48,164,407.0,1.32,1,Credit card,8.9
Creative Mobile,4,11,2017-11-17,Friday,20,186,100,536.0,0.5,2,Cash,8.3
VeriFone,3,7,2017-07-29,Saturday,13,114,236,1593.0,4.93,1,Credit card,22.8
Creative Mobile,4,11,2017-11-22,Wednesday,1,125,231,475.00000000000006,1.4,1,Credit card,10.55
VeriFone,2,6,2017-06-09,Friday,16,236,161,1652.0,2.52,1,Credit card,23.76
VeriFone,2,4,2017-04-11,Tuesday,19,142,164,941.0000000000001,2.69,1,Cash,13.8
VeriFone,1,2,2017-02-05,Sunday,17,170,113,675.0,1.5,1,Credit card,10.3
VeriFone,4,10,2017-10-12,Thursday,8,140,237,897.0,1.36,1,Credit card,13.56
VeriFone,2,5,2017-05-12,Friday,8,164,163,1009.0000000000001,1.52,1,Credit card,14.76
Creative Mobile,4,11,2017-11-23,Thursday,0,48,41,802.0,4.5,1,Cash,15.8
VeriFone,4,11,2017-11-11,Saturday,13,132,181,4390.0,13.61,1,Credit card,66.96
Creative Mobile,3,8,2017-08-14,Monday,12,48,13,1378.0,4.5,3,Cash,19.8
Creative Mobile,1,3,2017-03-13,Monday,15,186,68,498.00000000000006,1.1,1,Credit card,9.95
VeriFone,3,7,2017-07-16,Sunday,1,163,164,288.0,1.29,1,Credit card,8.76
VeriFone,3,9,2017-09-01,Friday,19,186,163,466.00000000000006,1.54,2,Cash,9.3
Creative Mobile,2,5,2017-05-17,Wednesday,21,249,246,390.0,1.3,2,Cash,7.8
Creative Mobile,4,11,2017-11-04,Saturday,19,164,113,516.0,1.0,1,Credit card,9.35
Creative Mobile,3,9,2017-09-14,Thursday,10,237,142,670.0,1.3,1,Credit card,11.75
Creative Mobile,2,5,2017-05-13,Saturday,14,234,170,250.00000000000003,0.7,1,Credit card,5.8
Creative Mobile,4,10,2017-10-05,Thursday,17,246,230,451.0,1.1,2,Credit card,10.8
VeriFone,4,10,2017-10-10,Tuesday,20,48,246,394.0,1.24,1,Credit card,9.36
VeriFone,1,3,2017-03-21,Tuesday,11,87,75,1516.0,8.18,1,Credit card,32.16
VeriFone,1,3,2017-03-04,Saturday,1,114,13,691.0,1.7,1,Credit card,11.8
VeriFone,4,12,2017-12-07,Thursday,10,68,158,590.0,1.36,1,Credit card,10.56
VeriFone,1,2,2017-02-09,Thursday,8,161,107,1056.0,2.19,1,Cash,12.8
VeriFone,4,11,2017-11-20,Monday,17,142,237,607.0,1.25,1,Credit card,11.76
VeriFone,3,8,2017-08-28,Monday,15,161,50,875.0,1.42,1,Credit card,14.12
VeriFone,3,7,2017-07-27,Thursday,22,237,161,153.0,0.45,1,Cash,5.3
Creative Mobile,4,11,2017-11-19,Sunday,8,138,121,697.0,6.7,1,Cash,20.8
Creative Mobile,4,12,2017-12-20,Wednesday,19,50,238,580.0,2.3,1,Credit card,14.1
VeriFone,4,10,2017-10-02,Monday,10,186,50,506.00000000000006,1.15,1,Credit card,9.36
VeriFone,3,7,2017-07-13,Thursday,11,158,249,388.0,0.68,2,Cash,6.3
VeriFone,3,8,2017-08-09,Wednesday,8,138,87,3542.0,15.89,1,Credit card,69.56
VeriFone,3,9,2017-09-24,Sunday,19,13,230,1579.0,5.04,4,Cash,21.8
VeriFone,1,2,2017-02-28,Tuesday,17,237,164,905.0,1.46,1,Credit card,15.99
Creative Mobile,1,1,2017-01-20,Friday,18,181,97,739.0,1.0,1,Cash,10.8
Creative Mobile,3,9,2017-09-18,Monday,20,145,145,10.0,0.0,1,Cash,3.8
VeriFone,4,12,2017-12-06,Wednesday,23,132,79,1751.0,18.93,1,Cash,52.8
Creative Mobile,2,5,2017-05-26,Friday,22,144,211,329.0,0.6,2,Cash,6.3
VeriFone,4,11,2017-11-14,Tuesday,7,138,88,3031.0,15.48,1,Credit card,59.56
Creative Mobile,1,1,2017-01-19,Thursday,0,230,234,373.0,1.1,1,Cash,7.3
Creative Mobile,1,1,2017-01-27,Friday,1,148,225,930.0000000000001,3.8,1,Cash,16.3
VeriFone,2,4,2017-04-16,Sunday,23,229,168,973.0000000000001,6.02,1,Cash,20.8
Creative Mobile,1,3,2017-03-05,Sunday,10,186,50,552.0,1.8,1,Cash,9.3
VeriFone,1,3,2017-03-14,Tuesday,17,262,74,293.0,1.74,1,Credit card,10.56
Creative Mobile,1,2,2017-02-15,Wednesday,18,162,229,252.00000000000003,0.2,1,Cash,6.3
VeriFone,2,4,2017-04-29,Saturday,13,24,75,679.0,2.06,1,Credit card,12.96
Creative Mobile,1,1,2017-01-04,Wednesday,7,162,141,619.0,1.2,1,Cash,8.8
VeriFone,4,11,2017-11-23,Thursday,13,158,114,577.0,0.51,1,Credit card,8.3
VeriFone,1,1,2017-01-24,Tuesday,21,161,137,524.0,1.65,1,Credit card,9.3
Creative Mobile,4,11,2017-11-28,Tuesday,16,48,68,155.0,0.6,1,Cash,5.8
VeriFone,3,8,2017-08-20,Sunday,21,249,211,453.0,1.12,5,Cash,8.3
Creative Mobile,4,10,2017-10-30,Monday,9,238,186,2495.0,3.7,3,Cash,26.3
VeriFone,3,8,2017-08-06,Sunday,4,42,152,610.0,1.52,1,Cash,9.8
VeriFone,2,5,2017-05-20,Saturday,19,142,238,465.00000000000006,1.36,1,Credit card,9.96
Creative Mobile,3,8,2017-08-12,Saturday,19,65,230,1736.0,5.0,1,Cash,21.8
VeriFone,3,7,2017-07-21,Friday,11,100,230,310.0,0.76,1,Cash,6.3
VeriFone,1,2,2017-02-17,Friday,10,263,229,726.0,2.15,1,Credit card,12.96
VeriFone,1,3,2017-03-08,Wednesday,16,170,186,416.0,0.67,1,Credit card,8.8
Creative Mobile,4,10,2017-10-03,Tuesday,7,161,234,1283.0,1.7,2,Cash,14.8
Creative Mobile,3,9,2017-09-03,Sunday,13,223,93,982.0000000000001,5.2,2,No charge,19.3
VeriFone,2,5,2017-05-24,Wednesday,6,75,75,199.0,0.48,1,Cash,4.8
Creative Mobile,1,3,2017-03-07,Tuesday,23,264,264,371.0,2.1,1,Credit card,11.15
VeriFone,3,8,2017-08-01,Tuesday,11,162,234,1437.0,2.16,1,Credit card,19.56
Creative Mobile,1,3,2017-03-21,Tuesday,16,114,90,594.0,1.4,1,Credit card,10.8
VeriFone,2,4,2017-04-28,Friday,21,162,74,1314.0,4.33,1,Credit card,25.09
VeriFone,1,1,2017-01-09,Monday,19,132,256,1920.0000000000002,16.48,1,Credit card,56.76
Creative Mobile,4,12,2017-12-18,Monday,10,170,87,1491.0,4.9,1,Credit card,26.75
VeriFone,1,3,2017-03-03,Friday,23,170,236,779.0,2.81,1,Credit card,15.3
Creative Mobile,1,2,2017-02-13,Monday,21,263,48,714.0,2.4,1,Credit card,12.3
Creative Mobile,2,6,2017-06-17,Saturday,17,141,141,114.0,0.6,2,Credit card,6.2
VeriFone,1,2,2017-02-26,Sunday,10,148,107,244.00000000000003,1.01,1,Cash,6.3
VeriFone,4,10,2017-10-29,Sunday,23,48,116,1101.0,6.0,1,Credit card,23.8
VeriFone,1,1,2017-01-06,Friday,20,107,137,289.0,0.61,1,Credit card,7.56
VeriFone,2,4,2017-04-15,Saturday,0,234,148,903.0,2.0,4,Credit card,14.3
VeriFone,3,9,2017-09-18,Monday,15,107,232,582.0,1.89,6,Cash,9.8
VeriFone,4,12,2017-12-13,Wednesday,22,163,68,967.0000000000001,2.24,3,Credit card,15.8
Creative Mobile,3,8,2017-08-02,Wednesday,12,230,234,1023.0000000000001,1.9,1,Credit card,16.0
